YTID,start_seconds,end_seconds,positive_labels,youtube_url
0d3kh_lETKc,100.000,110.000,"/m/0261r1,/m/07sq110,/m/09x0r",https://www.youtube.com/watch?v=0d3kh_lETKc
1vVpZDcRPsc,390.000,400.000,/m/0261r1,https://www.youtube.com/watch?v=1vVpZDcRPsc
4aAYwdY_r_8,70.000,80.000,"/m/01j3sz,/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=4aAYwdY_r_8
53Bx2EKZb-s,0.000,10.000,"/m/0261r1,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=53Bx2EKZb-s
5eoTmBjNl8A,340.000,350.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=5eoTmBjNl8A
66pL4oeEWGE,400.000,410.000,/m/0261r1,https://www.youtube.com/watch?v=66pL4oeEWGE
6oxzYHDgFaA,180.000,190.000,"/m/0261r1,/m/09x0r,/t/dd00126",https://www.youtube.com/watch?v=6oxzYHDgFaA
7y6SMvFdov8,0.000,10.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=7y6SMvFdov8
8STVB5guQqg,30.000,40.000,"/m/0261r1,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=8STVB5guQqg
9PXdzAsN-Ss,0.000,10.000,"/m/0261r1,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=9PXdzAsN-Ss
AZWvTwtpTPY,160.000,170.000,"/m/0261r1,/m/07rgt08",https://www.youtube.com/watch?v=AZWvTwtpTPY
BOoXaJfTsrQ,80.000,90.000,/m/0261r1,https://www.youtube.com/watch?v=BOoXaJfTsrQ
C1SqNwR-SFA,450.000,460.000,/m/0261r1,https://www.youtube.com/watch?v=C1SqNwR-SFA
C3msYakeZUE,60.000,70.000,"/m/0261r1,/m/09x0r,/m/0ytgt",https://www.youtube.com/watch?v=C3msYakeZUE
CZysUOZ1B7M,50.000,60.000,"/m/0261r1,/m/0ytgt",https://www.youtube.com/watch?v=CZysUOZ1B7M
DQsIqraI1zk,40.000,50.000,/m/0261r1,https://www.youtube.com/watch?v=DQsIqraI1zk
F4MNazlTSQM,50.000,60.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=F4MNazlTSQM
Fo1GjIO4su8,20.000,30.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=Fo1GjIO4su8
FuqquDb_Ffs,0.000,10.000,"/m/0261r1,/m/09x0r,/m/0ytgt,/t/dd00125",https://www.youtube.com/watch?v=FuqquDb_Ffs
Gmb2nLsvh4A,0.000,10.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=Gmb2nLsvh4A
H1RZqx1o92I,230.000,240.000,"/m/0261r1,/m/09x0r",https://www.youtube.com/watch?v=H1RZqx1o92I
