YTID,start_seconds,end_seconds,positive_labels,youtube_url
PJHxphWEs,30.000,40.000,"/m/09x0r,/t/dd00088",https://www.youtube.com/watch?v=PJHxphWEs
ZhevVpy1s,50.000,60.000,/m/012xff,https://www.youtube.com/watch?v=ZhevVpy1s
aE2O5G5WE,0.000,10.000,"/m/03fwl,/m/04rlf,/m/09x0r",https://www.youtube.com/watch?v=aE2O5G5WE
aO5cdqSAg,30.000,40.000,"/t/dd00003,/t/dd00005",https://www.youtube.com/watch?v=aO5cdqSAg
aaILOrkII,200.000,210.000,"/m/032s66,/m/073cg4",https://www.youtube.com/watch?v=aaILOrkII
cB2ZVjpnA,30.000,40.000,/m/01y3hg,https://www.youtube.com/watch?v=cB2ZVjpnA
ekDLDTUXA,30.000,40.000,"/m/015lz1,/m/07pws3f",https://www.youtube.com/watch?v=ekDLDTUXA
0DLPzsiXXE,30.000,40.000,"/m/04rlf,/m/07qwdck",https://www.youtube.com/watch?v=0DLPzsiXXE
0DdlOuIFUI,50.000,60.000,"/m/0130jx,/m/02jz0l,/m/0838f",https://www.youtube.com/watch?v=0DdlOuIFUI
0FHUc78Gqo,30.000,40.000,"/m/02w4v,/m/04rlf",https://www.youtube.com/watch?v=0FHUc78Gqo
0O3e95y4gE,100.000,110.000,"/m/07r4wb8,/t/dd00125",https://www.youtube.com/watch?v=0O3e95y4gE
0SdAVK79lg,30.000,40.000,"/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l",https://www.youtube.com/watch?v=0SdAVK79lg
0Vl4HyWRk8,410.000,420.000,"/m/085jw,/m/0l14l2",https://www.youtube.com/watch?v=0Vl4HyWRk8
0mG4W5Hlq8,270.000,280.000,"/m/04rlf,/m/05fw6t,/m/07r4k75,/m/09x0r,/m/0ytgt",https://www.youtube.com/watch?v=0mG4W5Hlq8
0mjrMposBM,80.000,90.000,/m/04zmvq,https://www.youtube.com/watch?v=0mjrMposBM
11LhdJgBb8,30.000,40.000,"/m/04rlf,/m/07qn4z3",https://www.youtube.com/watch?v=11LhdJgBb8
1LrH01Ei1w,30.000,40.000,"/m/02p0sh1,/m/04rlf",https://www.youtube.com/watch?v=1LrH01Ei1w
1TLtjPtnms,10.000,20.000,"/m/03lty,/m/04rlf,/m/07szfh9",https://www.youtube.com/watch?v=1TLtjPtnms
1iKLvsRBbE,80.000,90.000,"/m/015lz1,/m/07pws3f",https://www.youtube.com/watch?v=1iKLvsRBbE
24dqQM_rDk,30.000,40.000,"/m/04rlf,/t/dd00003",https://www.youtube.com/watch?v=24dqQM_rDk
275_wTLm-4,7.000,17.000,/m/07q6cd_,https://www.youtube.com/watch?v=275_wTLm-4
28U1_qW0sU,30.000,40.000,/m/07qwdck,https://www.youtube.com/watch?v=28U1_qW0sU
2PDE7hUArE,30.000,40.000,"/m/02mk9,/m/07pb8fc,/t/dd00066",https://www.youtube.com/watch?v=2PDE7hUArE
2X03mO3T_U,30.000,40.000,"/m/04k94,/m/0dv3j",https://www.youtube.com/watch?v=2X03mO3T_U
2hQKCE-oTI,30.000,40.000,/m/07pbtc8,https://www.youtube.com/watch?v=2hQKCE-oTI
30H9V1IKps,6.000,16.000,"/m/07yv9,/m/09x0r,/m/0gvgw0",https://www.youtube.com/watch?v=30H9V1IKps
38Qgsbh7NQ,100.000,110.000,"/m/013y1f,/m/03xq_f",https://www.youtube.com/watch?v=38Qgsbh7NQ
3HYdaJyF4U,30.000,40.000,"/m/04rlf,/m/06rqw",https://www.youtube.com/watch?v=3HYdaJyF4U
3IGxVTJvgI,30.000,40.000,"/m/06bz3,/m/09x0r",https://www.youtube.com/watch?v=3IGxVTJvgI
3IYpJfLVJk,30.000,40.000,"/m/03k3r,/m/07q5rw0,/m/0jbk",https://www.youtube.com/watch?v=3IYpJfLVJk
3hKkjKmIGE,30.000,40.000,"/m/019jd,/m/06q74",https://www.youtube.com/watch?v=3hKkjKmIGE
3pPrlCm6gg,30.000,40.000,/m/01wy6,https://www.youtube.com/watch?v=3pPrlCm6gg
4NLarMj4xU,30.000,40.000,"/m/04rlf,/t/dd00034",https://www.youtube.com/watch?v=4NLarMj4xU
4RWqM0UCCY,0.000,10.000,"/m/012n7d,/m/02mfyn,/m/03j1ly,/m/03kmc9",https://www.youtube.com/watch?v=4RWqM0UCCY
4hZyOdm7EI,200.000,210.000,"/m/015lz1,/m/015vgc",https://www.youtube.com/watch?v=4hZyOdm7EI
4xJv59_zcA,30.000,40.000,"/m/07pl1bw,/m/083vt",https://www.youtube.com/watch?v=4xJv59_zcA
5-vmt2iKT0,30.000,40.000,"/m/02zsn,/m/09x0r",https://www.youtube.com/watch?v=5-vmt2iKT0
5DdYkYOjy0,30.000,40.000,/m/06h7j,https://www.youtube.com/watch?v=5DdYkYOjy0
5GhUbDLYkQ,16.000,26.000,"/m/0130jx,/m/02jz0l,/m/0838f",https://www.youtube.com/watch?v=5GhUbDLYkQ
5Jlimvsuwo,90.000,100.000,"/m/011k_j,/m/04rlf",https://www.youtube.com/watch?v=5Jlimvsuwo
5Kk-m7BmiE,21.000,31.000,"/m/07pyf11,/m/07qmpdm",https://www.youtube.com/watch?v=5Kk-m7BmiE
5S70zOSw30,30.000,40.000,"/m/030rvx,/m/07pzfmf,/m/09x0r",https://www.youtube.com/watch?v=5S70zOSw30
5f6hjZf9Yw,30.000,40.000,"/m/02w4v,/m/04rlf",https://www.youtube.com/watch?v=5f6hjZf9Yw
5xOcMJpTUk,70.000,80.000,"/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y",https://www.youtube.com/watch?v=5xOcMJpTUk
60XojQWWoc,30.000,40.000,"/m/02rhddq,/m/07r04,/m/07yv9",https://www.youtube.com/watch?v=60XojQWWoc
64xnyOswXA,120.000,130.000,/m/0cdnk,https://www.youtube.com/watch?v=64xnyOswXA
693sNKI3iM,30.000,40.000,"/m/015lz1,/m/01swy6,/m/04rlf",https://www.youtube.com/watch?v=693sNKI3iM
6QGvxvaTkI,280.000,290.000,"/m/01p970,/m/026t6,/m/0l14md",https://www.youtube.com/watch?v=6QGvxvaTkI
6RN8skIHU4,20.000,30.000,"/m/09x0r,/m/0dv5r,/t/dd00125",https://www.youtube.com/watch?v=6RN8skIHU4
6fxJZ7CW00,30.000,40.000,/m/07pjjrj,https://www.youtube.com/watch?v=6fxJZ7CW00
6gC_nlUBfA,60.000,70.000,"/m/02y_763,/m/09x0r",https://www.youtube.com/watch?v=6gC_nlUBfA
6krAYK2LLo,30.000,40.000,"/m/04rlf,/m/06j64v,/m/0l14gg",https://www.youtube.com/watch?v=6krAYK2LLo
6pcgdLfb_A,110.000,120.000,"/m/04rlf,/t/dd00035",https://www.youtube.com/watch?v=6pcgdLfb_A
6sgMgtW91g,20.000,30.000,"/m/04rlf,/m/05rj2,/m/09x0r",https://www.youtube.com/watch?v=6sgMgtW91g
6x2PtSRfJU,30.000,40.000,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/09x0r",https://www.youtube.com/watch?v=6x2PtSRfJU
70MzkgSsHQ,30.000,40.000,"/m/04rlf,/m/04rzd",https://www.youtube.com/watch?v=70MzkgSsHQ
70wVF5u-gg,30.000,40.000,/m/07pn_8q,https://www.youtube.com/watch?v=70wVF5u-gg
75IwDlkzDQ,30.000,40.000,"/m/01h82_,/m/02mk9",https://www.youtube.com/watch?v=75IwDlkzDQ
76P3VHPuus,10.000,20.000,/m/01jg1z,https://www.youtube.com/watch?v=76P3VHPuus
7J4109yM7w,30.000,40.000,"/m/02mk9,/m/07yv9,/t/dd00130",https://www.youtube.com/watch?v=7J4109yM7w
7QVE8o9uk4,30.000,40.000,"/m/01yg9g,/m/04rlf,/m/07yv9",https://www.youtube.com/watch?v=7QVE8o9uk4
7WpTk5AHfk,30.000,40.000,"/m/04rlf,/m/07pws3f,/m/09x0r",https://www.youtube.com/watch?v=7WpTk5AHfk
7aibH1LKwI,90.000,100.000,/t/dd00121,https://www.youtube.com/watch?v=7aibH1LKwI
7wUQP6G5EQ,30.000,40.000,"/m/02cjck,/m/02w4v,/m/04rlf",https://www.youtube.com/watch?v=7wUQP6G5EQ
7ye24UFRng,0.000,10.000,"/m/032n05,/m/04rlf",https://www.youtube.com/watch?v=7ye24UFRng
7z662AsuTE,380.000,390.000,/m/0mbct,https://www.youtube.com/watch?v=7z662AsuTE
82vJ9bcar4,40.000,50.000,/m/0642b4,https://www.youtube.com/watch?v=82vJ9bcar4
8CrCItCO24,30.000,40.000,/m/07q7njn,https://www.youtube.com/watch?v=8CrCItCO24
8Ezw9946g8,100.000,110.000,/m/0fqfqc,https://www.youtube.com/watch?v=8Ezw9946g8
8H4GKg-mYQ,30.000,40.000,"/m/04rlf,/m/07gxw",https://www.youtube.com/watch?v=8H4GKg-mYQ
8S_tLKfeJg,200.000,210.000,"/m/04fgwm,/m/09x0r,/t/dd00125",https://www.youtube.com/watch?v=8S_tLKfeJg
8_HpHg6nCw,30.000,40.000,"/m/07ptzwd,/m/0838f",https://www.youtube.com/watch?v=8_HpHg6nCw
8fQePz4FcE,30.000,40.000,"/m/04rlf,/m/07xzm,/t/dd00126",https://www.youtube.com/watch?v=8fQePz4FcE
8n2NqDFRko,30.000,40.000,"/m/02rhddq,/m/07r04,/m/07yv9,/m/09x0r",https://www.youtube.com/watch?v=8n2NqDFRko
8wQV7VJnmM,30.000,40.000,"/m/04rlf,/m/04wptg,/t/dd00031",https://www.youtube.com/watch?v=8wQV7VJnmM
92cYmTgIjM,190.000,200.000,/m/02fxyj,https://www.youtube.com/watch?v=92cYmTgIjM
99daJhXYJY,30.000,40.000,"/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092",https://www.youtube.com/watch?v=99daJhXYJY
9ME9qMgkeY,270.000,280.000,"/m/08j51y,/m/09ct_",https://www.youtube.com/watch?v=9ME9qMgkeY
9Nl3LZBCOo,200.000,210.000,"/m/01s0vc,/m/09x0r",https://www.youtube.com/watch?v=9Nl3LZBCOo
9c1c8G_WO8,24.000,34.000,"/m/07c52,/m/09x0r",https://www.youtube.com/watch?v=9c1c8G_WO8
9ek6eO0RtI,260.000,270.000,/m/03wwcy,https://www.youtube.com/watch?v=9ek6eO0RtI
9wxcZf43a4,530.000,540.000,/m/0cj0r,https://www.youtube.com/watch?v=9wxcZf43a4
A0MTi2NMGI,30.000,40.000,/t/dd00134,https://www.youtube.com/watch?v=A0MTi2NMGI
